192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:14:58 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:11 +0000] "GET / HTTP/1.1" 500 579 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:15:12 +0000] "GET /favicon.ico HTTP/1.1" 500 579 "http://0.0.0.0/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
192.168.16.1 - - [08/Jun/2024:16:15:17 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
192.168.16.1 - - [08/Jun/2024:16:15:17 +0000] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 400 157 "-" "-"
